random-seed,100
537,[282],282
11196,[32 207 278],278
7914,[26 276],276
8722,[206 88 32 207 278],278
11075,[81 82 281],281
13031,[54 55 56 279],279
9930,[1 51 52 67 280],280
8051,[8 9 45 279],279
7771,[172 138 143 5 287],287
3013,[126 288],288
4336,[63 62 66 280],280
9039,[49 15 45 279],279
9202,[48 49 15 45 279],279
11230,[32 207 278],278
3319,[45 279],279
8416,[138 143 5 287],287
2333,[133 289],289
2460,[85 281],281
4310,[207 278],278
11910,[50 61 62 66 280],280
3473,[139 126 288],288
8343,[93 282],282
11343,[32 207 278],278
3246,[61 62 66 280],280
8372,[93 282],282
10558,[17 90 282],282
3088,[66 280],280
6872,[19 285],285
10791,[81 82 281],281
4215,[207 278],278
12191,[50 61 62 66 280],280
13070,[54 55 56 279],279
5228,[190 167 168 294],294
1595,[5 287],287
6712,[176 126 288],288
7680,[56 279],279
9148,[49 15 45 279],279
2747,[279],279
9303,[48 49 15 45 279],279
1139,[143 5 287],287
12661,[65 16 66 280],280
2594,[55 56 279],279
10661,[17 90 282],282
1419,[129 288],288
6523,[142 5 287],287
3174,[32 207 278],278
9277,[48 49 15 45 279],279
2204,[],292
11333,[32 207 278],278
3212,[175 141 287],287
8266,[281],281
12585,[65 16 66 280],280
2673,[124 177 176 126 288],288
3509,[291],291
10133,[1 51 52 67 280],280
4487,[211 19 285],285
3329,[45 279],279
5788,[192 175 141 287],287
3559,[48 49 15 45 279],279
12601,[65 16 66 280],280
4307,[207 278],278
7024,[285],285
12305,[65 16 66 280],280
7470,[],291
12593,[65 16 66 280],280
12822,[54 55 56 279],279
6457,[11 211 19 285],285
509,[134 133 289],289
8782,[206 88 32 207 278],278
7065,[111 118 119 285],285
7272,[9 45 279],279
7004,[285],285
6609,[37 34 33 207 278],278
9673,[92 93 282],282
8194,[155 290],290
9734,[92 93 282],282
4584,[106 284],284
9443,[88 32 207 278],278
9406,[88 32 207 278],278
3019,[126 288],288
7328,[9 45 279],279
9029,[49 15 45 279],279
1239,[82 281],281
10563,[17 90 282],282
11656,[51 52 67 280],280
4758,[278],278
10176,[1 51 52 67 280],280
3232,[61 62 66 280],280
6377,[160 292],292
3757,[204 136 152 290],290
1667,[82 281],281
10026,[1 51 52 67 280],280
4265,[207 278],278
13056,[54 55 56 279],279
918,[10 67 280],280
8978,[49 15 45 279],279
8089,[293],293
8068,[8 9 45 279],279
7916,[26 276],276
1315,[67 280],280
1282,[143 5 287],287
8903,[206 88 32 207 278],278
10652,[17 90 282],282
7983,[8 9 45 279],279
7256,[9 45 279],279
1769,[34 33 207 278],278
8628,[19 285],285
9354,[48 49 15 45 279],279
4473,[211 19 285],285
5869,[147 293],293
416,[164 293],293
7976,[8 9 45 279],279
12874,[54 55 56 279],279
2069,[],279
4424,[16 66 280],280
12487,[65 16 66 280],280
846,[32 207 278],278
11259,[32 207 278],278
4650,[29 277],277
921,[10 67 280],280
334,[49 15 45 279],279
1270,[82 281],281
6194,[105 106 284],284
1046,[197 113 112 105 106 284],284
12842,[54 55 56 279],279
4283,[207 278],278
10182,[1 51 52 67 280],280
12632,[65 16 66 280],280
3539,[85 281],281
5905,[177 176 126 288],288
6631,[37 34 33 207 278],278
11061,[81 82 281],281
12164,[50 61 62 66 280],280
8170,[189 144 203 204 136 152 290 155 291],291
9807,[92 93 282],282
9936,[1 51 52 67 280],280
9517,[88 32 207 278],278
11693,[51 52 67 280],280
8612,[219 26 276],276
5734,[121 19 285],285
9699,[92 93 282],282
4267,[207 278],278
10507,[17 90 282],282
12830,[54 55 56 279],279
13247,[47 39 40 9 45 279],279
13082,[54 55 56 279],279
12521,[65 16 66 280],280
5676,[33 207 278],278
6613,[37 34 33 207 278],278
5140,[40 9 45 279],279
3770,[],283
12917,[54 55 56 279],279
11307,[32 207 278],278
992,[112 105 106 284],284
9173,[48 49 15 45 279],279
1539,[],281
11916,[50 61 62 66 280],280
11300,[32 207 278],278
4419,[16 66 280],280
3593,[66 280],280
753,[49 15 45 279],279
8222,[285],285
7047,[285],285
521,[134 133 289],289
3422,[218 159 158 208 194 195 291],291
9497,[88 32 207 278],278
4820,[31 276],276
10429,[17 90 282],282
12136,[50 61 62 66 280],280
10582,[17 90 282],282
12564,[65 16 66 280],280
1991,[282],282
1413,[129 288],288
4425,[16 66 280],280
2582,[55 56 279],279
7931,[29 278],278
5912,[177 176 126 288],288
12157,[50 61 62 66 280],280
12845,[54 55 56 279],279
10389,[17 90 282],282
10778,[81 82 281],281
5714,[33 207 278],278
9087,[49 15 45 279],279
3176,[175 141 287],287
12083,[50 61 62 66 280],280
2002,[282],282
8890,[206 88 32 207 278],278
7865,[205 162 164 293],293
3812,[276],276
462,[146 292],292
6598,[37 34 33 207 278],278
9528,[88 32 207 278],278
11425,[51 52 67 280],280
536,[282],282
7030,[285],285
12306,[65 16 66 280],280
428,[146 292],292
827,[139 126 288],288
6587,[37 34 33 207 278],278
1530,[],281
6731,[176 126 288],288
7191,[107 106 284],284
8122,[207 278],278
2948,[203 204 136 152 290],290
8576,[280],280
12962,[54 55 56 279],279
11304,[32 207 278],278
11958,[50 61 62 66 280],280
7163,[6 146 292],292
5703,[33 207 278],278
11914,[50 61 62 66 280],280
12027,[50 61 62 66 280],280
5834,[57 56 279],279
3731,[90 282],282
8341,[93 282],282
2783,[279],279
7879,[205 162 164 293],293
4941,[177 176 126 288],288
7434,[213 151 168 294],294
8302,[105 106 284],284
2736,[279],279
582,[56 279],279
13305,[47 39 40 9 45 279],279
7602,[62 66 280],280
1793,[34 33 207 278],278
1484,[292],292
10316,[17 90 282],282
11332,[32 207 278],278
8746,[206 88 32 207 278],278
12492,[65 16 66 280],280
944,[10 67 280],280
8238,[285],285
4988,[136 289],289
11169,[32 207 278],278
12739,[54 55 56 279],279
5398,[96 101 283],283
13024,[54 55 56 279],279
10032,[1 51 52 67 280],280
2041,[],279
7291,[9 45 279],279
1347,[67 280],280
12353,[65 16 66 280],280
12303,[65 16 66 280],280
8162,[207 278],278
3255,[61 62 66 280],280
6637,[37 34 33 207 278],278
8700,[17 90 282],282
10333,[17 90 282],282
10374,[17 90 282],282
8705,[17 90 282],282
5924,[177 176 126 288],288
4482,[211 19 285],285
3031,[126 288],288
1658,[284],284
12749,[54 55 56 279],279
11968,[50 61 62 66 280],280
2407,[85 281],281
