procedure,calls,inclusive_time,exclusive_time
R-BOARD-THE-BUS,24522281,72455.734359,72455.734359
FIND-PATH,527,15154.379116,15154.379116
B-BOARD-PASSENGER,138644,893.641079,835.4959
B-MOVE-THE-BUS,211557,293.86584,293.86584
R-WAIT-FOR-BUS,11412171,2948.836042,2948.836042
B-UNBOARD-PASSENGER,154320,120.984786,71.893059
GO,50400,350177.32083,291.456029
B-GO-TO-SAFE-ZONE,260,8838.382259,7.921058
B-SET-TARGET,267,29.264869,19.568244
B-CHECK-ARRIVE-AT-DESTINATION,211557,425.39049,425.39049
TEMPORAL-SCALE,517,5.996675,5.996675
R-MOVE-WITH-BUS,9887256,913.977002,913.977002
GO-RESIDENTS,50400,331771.919784,220552.582584
B-DISCOUNT-WAIT-TIMER,292964,89.419322,89.419322
R-FIND-BUS-STOP,7759,20.060508,20.060508
B-DECIDE-CLOSE-TO-FAR,14,9.696625,9.696625
R-WALK,1080683,866.141938,866.141938
R-DECIDE-TO-EVACUATE,215165539,32848.262896,32848.262896
R-CHECK-ARRIVE-AT-DESTINATION,1080683,1141.320567,1141.320567
B-RESET-WAIT-TIMER,517,17.817584,11.820909
B-DECIDE-TARGET-STOP,267,137.967498,108.702629
R-AT-SAFE-ZONE,7079,25.003888,25.003888
GO-BUSES,50400,18113.945017,1071.661028
B-FIND-BUS-STOP,267,6332.052037,8.134122
