procedure,calls,inclusive_time,exclusive_time
R-BOARD-THE-BUS,34496553,130258.834974,130258.834974
FIND-PATH,360,10546.60154,10546.60154
B-BOARD-PASSENGER,399624,2405.694104,2281.876977
B-MOVE-THE-BUS,145687,222.076703,222.076703
R-WAIT-FOR-BUS,12033123,3053.446587,3053.446587
B-UNBOARD-PASSENGER,463047,262.564782,148.061768
GO,50400,433241.734958,296.503724
B-GO-TO-SAFE-ZONE,177,6090.094459,3.41938
B-SET-TARGET,183,16.757042,11.056834
B-CHECK-ARRIVE-AT-DESTINATION,145687,379.161155,379.161155
TEMPORAL-SCALE,340,5.100203,5.100203
R-MOVE-WITH-BUS,28476793,2272.267025,2272.267025
GO-RESIDENTS,50400,417477.975718,247021.270261
B-DISCOUNT-WAIT-TIMER,862671,226.745393,226.745393
B-DECIDE-CLOSE-TO-FAR,9,5.700208,5.700208
R-FIND-BUS-STOP,7759,19.515315,19.515315
R-WALK,1080683,922.109745,922.109745
R-DECIDE-TO-EVACUATE,215165539,32735.515714,32735.515714
R-CHECK-ARRIVE-AT-DESTINATION,1080683,1175.825285,1175.825285
B-RESET-WAIT-TIMER,340,11.574748,6.474545
B-DECIDE-TARGET-STOP,183,111.559202,94.80216
R-AT-SAFE-ZONE,6235,19.190812,19.190812
GO-BUSES,50400,15467.255516,1533.252526
B-FIND-BUS-STOP,183,4462.852585,2.926124
